tweet,clean_tweet,sentiment
Mabes Polri Selidiki Dugaan Perbudakan di Rumah Bupati Nonaktif Langkat https://t.co/JTzTFou3z0,mabes polri selidiki dugaan perbudakan di rumah bupati nonaktif langkat ,Negative
"pengen seperti bupati langkat punya penjara pribadi.

untuk memenjarakan hatimu",pengen seperti bupati langkat punya penjara pribadi   untuk memenjarakan hatimu,Neutral
"@AREAJULID Giliran kek gni cpt diusut, noh bupati langkat ditangkap hukum sklian", giliran kek gni cpt diusut  noh bupati langkat ditangkap hukum sklian,Negative
"Seorang warga yang berada di dalam kerangkeng Rumah Bupati Langkat Terbit Rencana Perangin Angin, Fredi Jonathan, m… https://t.co/J5E2uFxM4x",seorang warga yang berada di dalam kerangkeng rumah bupati langkat terbit rencana perangin angin  fredi jonathan  m ,Neutral
Heboh Penemuan Kerangkeng Di Rumah Bupati Langkat | Ada 27 Orang Di Dalamnya https://t.co/bPHRKHQmkC,heboh penemuan kerangkeng di rumah bupati langkat   ada  orang di dalamnya ,Neutral
"Kalo Lapas Sukamiskin kaya Rumah Bupati Langkat seru sih, koruptor yang (banyaknya) pengusaha kelapa sawit, diberda… https://t.co/18Vwu1mttr",kalo lapas sukamiskin kaya rumah bupati langkat seru sih  koruptor yang  banyaknya  pengusaha kelapa sawit  diberda ,Negative
"@null Soal Perbudakan Bupati Langkat, KSP: Kami Akan Pastikan Pelaku Dihukum Berat Kas  https://t.co/lUwG0RNiWk", soal perbudakan bupati langkat  ksp  kami akan pastikan pelaku dihukum berat kas  ,Negative
"@null Soal Perbudakan Bupati Langkat, KSP: Kami Akan Pastikan Pelaku Dihukum Berat Kas  https://t.co/LEBlHLy5GM", soal perbudakan bupati langkat  ksp  kami akan pastikan pelaku dihukum berat kas  ,Negative
Jadi Bupati Langkat ini pegang kartu apa? Sampe dicebokin Mabes Polri gini. https://t.co/7RNQXldy6y,jadi bupati langkat ini pegang kartu apa  sampe dicebokin mabes polri gini  ,Neutral
LPSK Akan Lindungi Saksi dan Korban Kerangkeng Manusia Bupati Langkat By CNN Indonesia – Opsiin… https://t.co/mrRBcKjMRM,lpsk akan lindungi saksi dan korban kerangkeng manusia bupati langkat by cnn indonesia – opsiin ,Negative
LPSK Akan Lindungi Saksi dan Korban Kerangkeng Manusia Bupati Langkat By CNN Indonesia – https://t.co/g1s0XGM1pz https://t.co/e521R1Ries,lpsk akan lindungi saksi dan korban kerangkeng manusia bupati langkat by cnn indonesia –  ,Negative
"Soal Perbudakan Bupati Langkat, KSP: Kami Akan Pastikan Pelaku Dihukum Berat #LengkapCepatBeritanya #BeritaTerkini… https://t.co/9avxa4NaLS",soal perbudakan bupati langkat  ksp  kami akan pastikan pelaku dihukum berat  lengkapcepatberitanya  beritaterkini ,Negative
"Se KEJAM² nya Ibu Tiri Lebih Kejam Ibu Kota, yg paling Super Kejam + Biadab❗👉 BUPATI Langkat 💥😡
@Syarman59 👇🤗👍… https://t.co/gPald46xcE",se kejam² nya ibu tiri lebih kejam ibu kota  yg paling super kejam   biadab bupati langkat    ,Negative
"Masuk Kurus Pas Keluar Jadi Gemuk, Pengakuan Warga Dikerangkeng di Rumah Bupati Langkat
https://t.co/vyyANlSfT3",masuk kurus pas keluar jadi gemuk  pengakuan warga dikerangkeng di rumah bupati langkat ,Negative
Ini Respons Berbagai Pihak soal Temuan Kerangkeng di Rumah Bupati Langkat https://t.co/0bY1IXUetW,ini respons berbagai pihak soal temuan kerangkeng di rumah bupati langkat ,Neutral
"Anjir mengkaget, ternyata ini si op anaknya bupati langkat yang punya penjara pribadi buat pekerja sawit fansign sa… https://t.co/3VwSe0pjdk",anjir mengkaget  ternyata ini si op anaknya bupati langkat yang punya penjara pribadi buat pekerja sawit fansign sa ,Neutral
ICJR: Temuan Kerangkeng Manusia di Rumah Bupati Langkat Harus Diusut https://t.co/8ge9NpyE2D,icjr  temuan kerangkeng manusia di rumah bupati langkat harus diusut ,Neutral
